deployid,motionlessid,motionlessstart,motionlessend,duration_s
bb190226-53,1,2019-02-27 03:32:14.5,2019-02-27 03:32:43.0,28.5
bb190226-53,2,2019-02-27 03:33:38.5,2019-02-27 03:34:31.3,52.8
bb190226-53,3,2019-02-27 03:35:35.1,2019-02-27 03:36:34.1,59.0
bb190226-53,4,2019-02-27 03:36:57.0,2019-02-27 03:37:48.3,51.3
bb190226-53,5,2019-02-27 03:38:25.7,2019-02-27 03:39:18.1,52.4
bb190226-53,6,2019-02-27 03:39:45.4,2019-02-27 03:40:21.7,36.3
bb190226-53,7,2019-02-27 03:41:23.0,2019-02-27 03:42:07.9,44.9
bb190226-53,8,2019-02-27 03:43:45.2,2019-02-27 03:44:12.7,27.5
bb190226-53,9,2019-02-27 03:44:39.3,2019-02-27 03:45:08.7,29.4
bb190226-53,10,2019-02-27 03:45:58.1,2019-02-27 03:46:43.5,45.4
bb190226-53,11,2019-02-27 03:48:18.6,2019-02-27 03:48:50.4,31.8
bb190226-53,12,2019-02-27 03:49:11.1,2019-02-27 03:49:51.9,40.8
bb190226-53,13,2019-02-27 03:50:35.0,2019-02-27 03:51:29.1,54.1
bb190226-53,14,2019-02-27 03:52:25.3,2019-02-27 03:53:19.4,54.1
bb190226-53,15,2019-02-27 03:54:04.0,2019-02-27 03:54:51.0,47.0
bb190226-53,16,2019-02-27 03:55:40.4,2019-02-27 03:56:10.9,30.5
bb190226-53,17,2019-02-27 03:57:17.7,2019-02-27 03:57:50.3,32.6
bb190226-53,18,2019-02-27 03:58:54.2,2019-02-27 03:59:24.5,30.3
bb190226-53,19,2019-02-27 03:59:51.8,2019-02-27 04:00:36.9,45.1
bb190226-53,20,2019-02-27 04:01:01.3,2019-02-27 04:01:39.7,38.4
bb190226-53,21,2019-02-27 04:02:18.0,2019-02-27 04:03:24.7,66.7
bb190226-53,22,2019-02-27 04:04:24.0,2019-02-27 04:05:04.2,40.2
bb190226-53,23,2019-02-27 04:07:43.4,2019-02-27 04:08:18.7,35.3
bb190226-53,24,2019-02-27 04:09:00.9,2019-02-27 04:09:52.1,51.2
bb190226-53,25,2019-02-27 04:13:57.9,2019-02-27 04:14:27.4,29.5
bb190226-53,26,2019-02-27 04:15:03.3,2019-02-27 04:15:34.5,31.2
bb190226-53,27,2019-02-27 04:22:02.4,2019-02-27 04:22:44.3,41.9
bb190226-53,28,2019-02-27 04:23:31.6,2019-02-27 04:24:14.1,42.5
bb190226-53,29,2019-02-27 04:24:56.2,2019-02-27 04:25:27.1,30.9
bb190226-53,30,2019-02-27 04:29:01.7,2019-02-27 04:30:06.7,65.0
bb190226-53,31,2019-02-27 04:32:43.9,2019-02-27 04:34:05.2,81.3
bb190226-53,32,2019-02-27 04:34:49.4,2019-02-27 04:35:44.0,54.6
bb190226-53,33,2019-02-27 04:35:48.6,2019-02-27 04:36:28.8,40.2
bb190226-53,34,2019-02-27 04:36:51.6,2019-02-27 04:37:30.4,38.8
bb190226-53,35,2019-02-27 04:37:35.9,2019-02-27 04:38:09.2,33.3
bb190226-53,36,2019-02-27 04:38:33.1,2019-02-27 04:39:52.8,79.7
bb190226-53,37,2019-02-27 04:43:32.7,2019-02-27 04:44:26.1,53.4
bb190226-53,38,2019-02-27 04:46:46.6,2019-02-27 04:47:47.6,61.0
bb190226-53,39,2019-02-27 04:48:05.9,2019-02-27 04:48:52.9,47.0
bb190226-53,40,2019-02-27 04:49:18.6,2019-02-27 04:50:33.4,74.8
bb190226-53,41,2019-02-27 04:52:03.6,2019-02-27 04:52:50.4,46.8
bb190226-53,42,2019-02-27 04:54:16.8,2019-02-27 04:54:51.4,34.6
bb190226-53,43,2019-02-27 04:55:09.1,2019-02-27 04:55:41.8,32.7
bb190226-53,44,2019-02-27 04:56:25.4,2019-02-27 04:57:32.6,67.2
bb190226-53,45,2019-02-27 04:57:58.3,2019-02-27 04:58:57.9,59.6
bb190226-53,46,2019-02-27 04:59:56.1,2019-02-27 05:00:52.9,56.8
bb190226-53,47,2019-02-27 05:01:18.8,2019-02-27 05:02:44.6,85.8
bb190226-53,48,2019-02-27 05:04:45.0,2019-02-27 05:05:46.7,61.7
bb190226-53,49,2019-02-27 05:06:15.3,2019-02-27 05:07:50.4,95.1
bb190226-53,50,2019-02-27 05:08:11.5,2019-02-27 05:09:20.5,69.0
bb190226-53,51,2019-02-27 05:10:38.9,2019-02-27 05:11:50.1,71.2
bb190226-53,52,2019-02-27 05:12:33.7,2019-02-27 05:13:33.8,60.1
bb190226-53,53,2019-02-27 05:13:49.5,2019-02-27 05:14:49.3,59.8
bb190226-53,54,2019-02-27 05:15:48.4,2019-02-27 05:16:58.1,69.7
bb190226-53,55,2019-02-27 05:17:35.9,2019-02-27 05:18:12.0,36.1
bb190226-53,56,2019-02-27 05:18:25.7,2019-02-27 05:19:34.2,68.5
bb190226-53,57,2019-02-27 05:19:54.5,2019-02-27 05:21:01.7,67.2
bb190226-53,58,2019-02-27 05:21:51.8,2019-02-27 05:22:45.6,53.8
bb190226-53,59,2019-02-27 05:25:01.8,2019-02-27 05:26:33.2,91.4
bb190226-53,60,2019-02-27 05:26:51.8,2019-02-27 05:28:17.0,85.2
bb190226-53,61,2019-02-27 05:28:30.1,2019-02-27 05:29:20.8,50.7
bb190226-53,62,2019-02-27 05:29:54.3,2019-02-27 05:30:44.3,50.0
